Day,Month,Address,Lon,Lat,Price
1,7,"13 Hollowglen Road, Glasgow, Glasgow City G32 0ND, UK",-4.1604963,55.8550732,72500
1,7,"7 Clarence Street, Clydebank, West Dunbartonshire G81 2HU, UK",-4.4009872,55.9083487,137995
1,7,"16 Clarence Street, Clydebank, West Dunbartonshire G81 2HU, UK",-4.400781,55.9089697,148995
1,7,"10E Park Court, Clydebank, West Dunbartonshire G81 4PH, UK",-4.4283284,55.9170363,25000
1,7,"30 Ashvale Crescent, Glasgow, Glasgow City G21 1NE, UK",-4.2340173,55.8835621,65000
1,7,"212 Menzies Road, Glasgow, Glasgow City G21 3NE, UK",-4.2151957,55.8896479,80000
1,7,"Caldarvan Station House, Gartocharn, Alexandria, West Dunbartonshire G83 8RR, UK",-4.5304329,56.0170655,235000
1,7,"51 Gallowhill Road, Clarkston, Glasgow, Glasgow City G76 9DQ, UK",-4.2338043,55.7928705,38250
1,7,"73 Hillswick Crescent, Glasgow, Glasgow City G22 7PR, UK",-4.2588494,55.9008353,82515
1,7,"68 Parkneuk Road, Glasgow, Glasgow City G43 2AF, UK",-4.2996283,55.8114949,21415.75
1,7,"11 Murray Path, Uddingston, Glasgow, South Lanarkshire G71 7QN, UK",-4.0895894,55.8205923,69000
1,7,"47 Battlefield Avenue, Glasgow, Glasgow City G42 9HR, UK",-4.2632423,55.824282,105000
1,7,"26 Darnaway Avenue, Glasgow, Glasgow City G33 5HR, UK",-4.1467201,55.8761558,93000
1,7,"24 Auldmurroch Drive, Milngavie, Glasgow, East Dunbartonshire G62 7SB, UK",-4.3466928,55.9430209,290010
1,7,"9 Munro Place, East Kilbride, Glasgow, South Lanarkshire G74 3BS, UK",-4.1547878,55.7721308,148496
1,7,"112 Cowcaddens Road, Glasgow, Glasgow City G4 0HL, UK",-4.2549096,55.8665593,165000
1,7,"8 Balgonie Road, Glasgow, Glasgow City G52 1HW, UK",-4.3288737,55.8423841,107000
1,7,"22 Windsor Crescent, Clydebank, West Dunbartonshire G81 3AE, UK",-4.4096885,55.9093856,78000
1,7,"14 Espedair Street, Paisley, Renfrewshire PA2 6NS, UK",-4.4236289,55.838336,21000
1,7,"Clocherlee Place, Inverkip, Greenock, Inverclyde PA16 0FH, UK",-4.8634873,55.9040419,216000
1,7,"60 Viking Terrace, East Kilbride, Glasgow, South Lanarkshire G75 0NW, UK",-4.1805259,55.7489116,89000
1,7,"7 Accord Avenue, Paisley, Renfrewshire PA2 7DN, UK",-4.3941421,55.8349736,141000
1,7,"5 Glenlivet Road, Neilston, Glasgow, East Renfrewshire G78 3QW, UK",-4.4396597,55.779567,140000
1,7,"5 Jeffrey Place, Kilsyth, Glasgow, North Lanarkshire G65 9NQ, UK",-4.0668398,55.9808285,67000
1,7,"4B Burnside Street, Dumbarton, West Dunbartonshire G82 1DS, UK",-4.5526097,55.9411895,55000
1,7,"3 Ascog Street, Glasgow, Glasgow City G42 7JL, UK",-4.2624732,55.8395012,83000
1,7,"84 Queen Margaret Drive, Glasgow, Glasgow City G20 8NZ, UK",-4.2844196,55.8805328,20000
1,7,"12 Ivanhoe, East Kilbride, Glasgow, South Lanarkshire G74 3NZ, UK",-4.1400786,55.7756651,38050
1,7,"2 Bright Street, Glasgow, Glasgow City G21 2NQ, UK",-4.2291725,55.8698993,16500
1,7,"9 Alloway Court, Kirkintilloch, Glasgow, East Dunbartonshire G66 2RQ, UK",-4.1319603,55.9471949,92500
1,7,"19 McLean Place, Paisley, Renfrewshire PA3 2DG, UK",-4.4344894,55.856004,62100
1,7,"10 Newburgh Street, Glasgow, Glasgow City G43 2XR, UK",-4.2873599,55.8242979,144550
1,7,"2 Whitehill Gardens, Glasgow, Glasgow City G31 2PR, UK",-4.2155679,55.8605335,195000
1,7,"Gatehead Crescent, Bishopton, Renfrewshire PA7 5JJ, UK",-4.510235,55.9074179,168995
1,7,"Gatehead Crescent, Bishopton, Renfrewshire PA7 5JJ, UK",-4.510235,55.9074179,244995
1,7,"Gatehead Crescent, Bishopton, Renfrewshire PA7 5JJ, UK",-4.510235,55.9074179,379995
1,7,"Gatehead Drive, Bishopton, Renfrewshire PA7 5NA, UK",-4.5097657,55.9063814,224995
1,7,"1 Whimbrel Wynd, Renfrew, Renfrewshire PA4 8SZ, UK",-4.3789784,55.8826783,90000
1,7,"167 Somerville Drive, Glasgow, Glasgow City G42 9BU, UK",-4.2520822,55.8270194,120000
1,7,"161 Auldhouse Road, Glasgow, Glasgow City G43 1XD, UK",-4.295391,55.8199806,228000
1,7,"9 Kingfisher Drive, Glasgow, Glasgow City G13 4QP, UK",-4.3663911,55.8952341,163500
1,7,"18 Kingfisher Drive, Glasgow, Glasgow City G13 4QA, UK",-4.3702951,55.8953368,141000
1,7,"187 Broomhill Crescent, Alexandria, West Dunbartonshire G83 9QL, UK",-4.5554119,55.9717352,132500
1,7,"34 Airlie Road, Glasgow, Glasgow City G69 7AS, UK",-4.1225719,55.8442583,69500
1,7,"12 Dalmore Crescent, Helensburgh, Argyll and Bute G84 8JP, UK",-4.7580765,56.0112337,240000
1,7,"148 Marlborough Avenue, Glasgow, Glasgow City G11 7JG, UK",-4.3178084,55.8787169,250000
1,7,"27 Braeside Crescent, Barrhead, Glasgow, East Renfrewshire G78 2QG, UK",-4.3760415,55.7938999,92000
1,7,"Tulip Drive, Newton Mearns, Glasgow, East Renfrewshire G77 6TQ, UK",-4.3403604,55.7859357,344995
1,7,"Tulip Drive, Newton Mearns, Glasgow, East Renfrewshire G77 6TQ, UK",-4.3403604,55.7859357,369995
1,7,"49 Clifford Street, Glasgow, Glasgow City G51 1QD, UK",-4.2980926,55.8503448,70000
1,7,"5 Tanzieknowe Road, Cambuslang, Glasgow, South Lanarkshire G72 8RD, UK",-4.1592288,55.8093635,135000
