"County","State","VotesTrump","VotesClinton","PercTrump","PercClinton","PercWhite","HIncome"
"Abbeville","South Carolina",6742,3712,62.9,34.6,69.6,35947
"Acadia","Louisiana",21159,5638,77.3,20.6,79.5,37587
"Accomack","Virginia",8582,6737,54.5,42.8,65.3,39328
"Ada","Idaho",93748,75676,47.9,38.7,90.3,55210
"Adair","Iowa",2456,1127,65.3,30,98.4,47892
"Adair","Kentucky",6637,1323,80.6,16.1,94.9,32524
"Adair","Missouri",6019,3495,59.4,34.5,94,34733
"Adair","Oklahoma",4753,1374,73.5,21.2,43,32556
"Adams","Colorado",55993,64628,41.5,47.9,73.3,56270
"Adams","Idaho",1556,415,71.3,19,96.1,35434
"Adams","Illinois",22732,7633,71.6,24,93.7,45073
"Adams","Indiana",9642,2802,73.9,21.5,97,46695
"Adams","Iowa",1393,565,66.9,27.1,98.1,45871
"Adams","Mississippi",5125,6921,42,56.7,42.7,27381
"Adams","Nebraska",9205,3272,69.9,24.8,91.9,49440
"Adams","North Dakota",904,216,75,17.9,97.3,47798
"Adams","Ohio",8445,2293,76.3,20.7,97.7,35678
"Adams","Pennsylvania",31249,14077,66.3,29.9,93.7,59492
"Adams","Washington",2157,841,68.7,26.8,62.5,43926
"Adams","Wisconsin",5983,3780,59.2,37.4,93,44897
"Addison","Vermont",5297,11218,30.1,63.8,95.3,57565
"Aiken","South Carolina",45981,25426,61.5,34,69.6,44509
"Aitkin","Minnesota",5516,3134,60.1,34.1,95.6,41617
"Alachua","Florida",46584,75370,36.4,59,69.6,42149
"Alamance","North Carolina",38235,29268,55.2,42.3,71.1,43043
"Alameda","California",59384,300185,15.6,79,43,72112
"Alamosa","Colorado",3031,3168,43.9,45.9,74.8,34520
"Albany","New York",44227,74775,35.2,59.5,78.2,59394
"Albany","Wyoming",7601,6888,46.3,41.9,90.1,42774
"Albemarle","Virginia",19232,33297,34.3,59.3,80.6,67725
"Alcona","Michigan",4201,1732,68,28,97.9,37189
"Alcorn","Mississippi",11616,2609,80.1,18,85.4,33600
"Alexander","Illinois",1496,1262,53,44.8,60.9,26972
"Alexander","North Carolina",13826,3750,76.8,20.8,89.6,40637
"Alexandria","Virginia",13241,57147,17.8,76.8,60.9,85706
"Alfalfa","Oklahoma",1931,216,85.6,9.6,89.4,44811
"Alger","Michigan",2585,1663,57.3,36.8,86.3,37586
"Allamakee","Iowa",4072,2409,59.6,35.2,96,48831
"Allegan","Michigan",33812,17932,61.3,32.5,92.9,52061
"Allegany","Maryland",20025,6665,72,24,89.2,39293
"Allegany","New York",11712,4473,68.4,26.1,96.2,42445
"Alleghany","North Carolina",3789,1300,72.7,24.9,92.2,35170
"Alleghany","Virginia",4873,2165,66.7,29.6,93.2,44848
