"title","distributor","gross","theaters","days","date","top"
"Runaway Bride","Paramount Pictures",12000,3158,1,1999-07-30,*
"The Blair Witch Project","Artisan",8234,1101,17,1999-07-30,FALSE
"Deep Blue Sea","Warner Bros.",5825,2854,3,1999-07-30,FALSE
"The Haunting","Dreamworks SKG",4650,2864,8,1999-07-30,FALSE
"Inspector Gadget","Walt Disney",4030,2877,8,1999-07-30,FALSE
"American Pie","Universal",2060,2435,22,1999-07-30,FALSE
"Eyes Wide Shut","Warner Bros.",1340,2264,15,1999-07-30,FALSE
"Big Daddy","Sony Pictures",1015,2288,36,1999-07-30,FALSE
"Star Wars Ep. I: The Phantom …","20th Century Fox",910,1640,73,1999-07-30,FALSE
"Tarzan","Walt Disney",830,1611,45,1999-07-30,FALSE
"The Wood","Paramount Pictures",780,1052,15,1999-07-30,FALSE
"Lake Placid","20th Century Fox",710,1796,15,1999-07-30,FALSE
"Wild Wild West","Warner Bros.",685,2151,31,1999-07-30,FALSE
"Drop Dead Gorgeous","New Line",636,1207,8,1999-07-30,FALSE
"The General's Daughter","Paramount Pictures",625,1319,43,1999-07-30,FALSE
"Austin Powers: The Spy Who Sh…","New Line",271,1056,51,1999-07-30,FALSE
"Nutty Professor II: The Klumps","Universal",12352,3242,3,2000-07-30,FALSE
"What Lies Beneath","Dreamworks SKG",7098,2825,10,2000-07-30,FALSE
"X-Men","20th Century Fox",3989,3107,17,2000-07-30,FALSE
"Scary Movie","Miramax/Dimension",2616,3256,24,2000-07-30,FALSE
"The Perfect Storm","Warner Bros.",2431,3093,31,2000-07-30,FALSE
"Pokemon 2000","Warner Bros.",1903,2752,10,2000-07-30,FALSE
"The Kid","Walt Disney",1593,2328,24,2000-07-30,FALSE
"Thomas and the Magic Railroad","Destination Films",1418,2106,*,2000-07-30,FALSE
"The Patriot","Sony Pictures",1350,2329,33,2000-07-30,FALSE
"Chicken Run","Dreamworks SKG",1130,2114,40,2000-07-30,FALSE
"Loser","Sony Pictures",872,2016,10,2000-07-30,FALSE
"Me, Myself & Irene","20th Century Fox",475,1576,38,2000-07-30,FALSE
"Gladiator","Dreamworks SKG",273,651,87,2000-07-30,FALSE
"Big Momma's House","20th Century Fox",235,920,59,2000-07-30,FALSE
"The In Crowd","Warner Bros.",225,1335,12,2000-07-30,FALSE
"Mission: Impossible 2","Paramount Pictures",222,820,68,2000-07-30,FALSE
"Gone in 60 Seconds","Walt Disney",217,803,52,2000-07-30,FALSE
"The Adventures of Rocky & Bul…","Universal",143,650,31,2000-07-30,FALSE
"Shaft","Paramount Pictures",136,757,45,2000-07-30,*
"Road Trip","Dreamworks SKG",128,533,73,2000-07-30,FALSE
"Planet of the Apes","20th Century Fox",8219.306,3500,4,2001-07-30,FALSE
"Jurassic Park 3","Universal",2613.64,3439,13,2001-07-30,FALSE
"America's Sweethearts","Sony Pictures",1822.158,3011,11,2001-07-30,FALSE
"Legally Blonde","MGM",1363.256,2725,18,2001-07-30,*
"The Score","Paramount Pictures",767.065,2211,18,2001-07-30,FALSE
"Cats & Dogs","Warner Bros.",668.681,2816,27,2001-07-30,FALSE
"Dr Dolittle 2","20th Century Fox",607.124,2190,39,2001-07-30,FALSE
"The Fast and the Furious","Universal",583.995,2405,39,2001-07-30,*
"Scary Movie 2","Miramax/Dimension",390.584,2802,27,2001-07-30,FALSE
"Shrek","Dreamworks SKG",284.428,1439,74,2001-07-30,FALSE
"Kiss of the Dragon","20th Century Fox",225.15,1214,25,2001-07-30,FALSE
"Final Fantasy: The Spirits Wi…","Sony Pictures",198.97,2028,20,2001-07-30,FALSE
"Atlantis: The Lost Empire","Walt Disney",140.53,893,53,2001-07-30,FALSE
"Lara Croft: Tomb Raider","Paramount Pictures",118.209,940,46,2001-07-30,FALSE
"Artificial Intelligence: AI","Warner Bros.",116.065,1327,32,2001-07-30,FALSE
"Pearl Harbor","Walt Disney",110.726,715,67,2001-07-30,FALSE
"Made","Artisan",92.21,105,18,2001-07-30,FALSE
"Baby Boy","Sony Pictures",75.326,491,34,2001-07-30,FALSE
"Moulin Rouge","20th Century Fox",65.394,356,74,2001-07-30,FALSE
"Sexy Beast","Fox Searchlight",45.665,194,48,2001-07-30,FALSE
"Austin Powers in Goldmember","New Line",9164.052,3613,6,2002-07-30,FALSE
"Stuart Little 2","Sony Pictures",1633.846,3282,12,2002-07-30,FALSE
"The Road to Perdition","Dreamworks SKG",1331.865,2250,19,2002-07-30,FALSE
"Men in Black 2","Sony Pictures",1038.31,3542,28,2002-07-30,FALSE
"The Country Bears","Walt Disney",874.432,2553,5,2002-07-30,FALSE
"K-19: The Widowmaker","Paramount Pictures",806.231,2830,12,2002-07-30,FALSE
"Mr. Deeds","Sony Pictures",703.417,2309,33,2002-07-30,FALSE
"Reign of Fire","Walt Disney",490.446,2005,19,2002-07-30,FALSE
"My Big Fat Greek Wedding","IFC Films",443,569,103,2002-07-30,FALSE
"Lilo & Stitch","Walt Disney",440.887,1780,40,2002-07-30,FALSE
"Minority Report","20th Century Fox",419.483,1365,40,2002-07-30,FALSE
"Like Mike","20th Century Fox",352.921,1384,28,2002-07-30,FALSE
"The Bourne Identity","Universal",352.275,1155,47,2002-07-30,*
"Eight Legged Freaks","Warner Bros.",327.65,2530,14,2002-07-30,FALSE
"Star Wars Ep. II: Attack of t…","20th Century Fox",132.101,463,76,2002-07-30,FALSE
"Spirit: Stallion of the Cimarron","Dreamworks SKG",63.109,334,68,2002-07-30,FALSE
"The Powerpuff Girls","Warner Bros.",16,176,28,2002-07-30,FALSE
"Spy Kids 3-D: Game Over","Miramax/Dimension",3812,3344,6,2003-07-30,FALSE
"Pirates of the Caribbean: The…","Walt Disney",3275,3416,22,2003-07-30,FALSE
"Seabiscuit","Universal",2606,1989,6,2003-07-30,FALSE
"Bad Boys II","Sony Pictures",2281,3202,13,2003-07-30,FALSE
"Lara Croft: Tomb Raider: The …","Paramount Pictures",2158,3222,6,2003-07-30,FALSE
"Finding Nemo","Walt Disney",760,2025,62,2003-07-30,TRUE
"The League of Extraordinary G…","20th Century Fox",663,2532,20,2003-07-30,FALSE
"Johnny English","Universal",593,2236,13,2003-07-30,FALSE
"Terminator 3: Rise of the Mac…","Warner Bros.",572,2660,30,2003-07-30,FALSE
"Legally Blonde 2: Red, White …","MGM",419,2120,29,2003-07-30,FALSE
"The Village","Walt Disney",20382.664,3730,1,2004-07-30,FALSE
"The Bourne Supremacy","Universal",7500,3180,8,2004-07-30,FALSE
"The Manchurian Candidate","Paramount Pictures",6100,2867,1,2004-07-30,FALSE
"I, Robot","20th Century Fox",3000,3204,15,2004-07-30,FALSE
"Spider-Man 2","Sony Pictures",2437.834,3001,31,2004-07-30,*
"Catwoman","Warner Bros.",2000,3117,8,2004-07-30,FALSE
"Harold & Kumar Go to White Ca…","New Line",2000,2135,1,2004-07-30,FALSE
"A Cinderella Story","Warner Bros.",1600,2350,15,2004-07-30,FALSE
"Anchorman: The Legend of Ron …","Dreamworks SKG",1000,2032,22,2004-07-30,FALSE
"The Notebook","New Line",900,1506,36,2004-07-30,FALSE
"Thunderbirds","Universal",900,2057,1,2004-07-30,FALSE
"Fahrenheit 9/11","Lionsgate",800,1217,38,2004-07-30,FALSE
"Wedding Crashers","New Line",7800,3030,16,2005-07-30,FALSE
"Charlie and the Chocolate Fac…","Warner Bros.",6287.701,3775,16,2005-07-30,FALSE
"Sky High","Walt Disney",5500.003,2905,2,2005-07-30,FALSE
"Must Love Dogs","Warner Bros.",4957.407,2505,2,2005-07-30,FALSE
