"","country","points","price","province","title","variety","winery"
"1","US",88,11,"California","Crushed 2010 Red (California)","Red Blend","Crushed"
"2","Argentina",84,9,"Other","San Huberto 2011 Malbec (Argentina)","Malbec","San Huberto"
"3","France",84,10,"Bordeaux","Barton & Guestier 2009  Bordeaux Blanc","Bordeaux-style White Blend","Barton & Guestier"
"4","US",87,20,"California","Frei Brothers 2006 Reserve Chardonnay (Russian River Valley)","Chardonnay","Frei Brothers"
"5","France",88,21,"Beaujolais","Château de Lavernette 2014 Les Vignes de la Roche  (Beaujolais Blanc)","Chardonnay","Château de Lavernette"
"6","France",86,NA,"Alsace","Hugel 2007 Jubilée Riesling (Alsace)","Riesling","Hugel"
"7","Australia",84,8,"New South Wales","Penmara 2000 Chardonnay (New South Wales)","Chardonnay","Penmara"
"8","Portugal",86,NA,"Vinho Verde","Borges 2009 AT White (Vinho Verde)","Portuguese White","Borges"
"9","US",92,38,"California","Pride Mountain 2012 Chardonnay (Napa Valley)","Chardonnay","Pride Mountain"
"10","US",87,16,"Oregon","Hellfire 2007 White Wine White (Columbia Gorge (OR))","White Blend","Hellfire"
"11","Greece",88,11,"Messinia","Dimitra 2006 Geromilos Farms Cabernet Sauvignon-Merlot (Messinia)","Cabernet Sauvignon-Merlot","Dimitra"
"12","Australia",91,140,"Victoria","Chambers Rosewood Vineyards NV Grand Muscadelle Tokay (Rutherglen)","Tokay","Chambers Rosewood Vineyards"
"13","US",81,16,"California","Arrow Creek 2010 Sweet Red Coastal Series Red (California)","Red Blend","Arrow Creek"
"14","US",85,13,"California","Steelhead Vineyards 2011 Sauvignon Blanc (North Coast)","Sauvignon Blanc","Steelhead Vineyards"
"15","France",93,39,"Burgundy","Domaine Ellevin 2014 Vaucoupin Premier Cru  (Chablis)","Chardonnay","Domaine Ellevin"
"16","US",87,40,"California","Peter Paul Wines 2011 Trenton Road Pinot Noir (Russian River Valley)","Pinot Noir","Peter Paul Wines"
"17","Italy",86,NA,"Southern Italy","Feudi di San Marzano 2008 Sud Malvasia (Salento)","Malvasia","Feudi di San Marzano"
"18","US",91,27,"California","Baker & Brain 2015 Paragon Vineyard Grüner Veltliner (Edna Valley)","Grüner Veltliner","Baker & Brain"
"19","Austria",89,13,"Carnuntum","Artner 2016 Klassik Grüner Veltliner (Carnuntum)","Grüner Veltliner","Artner"
"20","US",86,75,"California","Flora Springs 2011 Trilogy Red (Napa Valley)","Bordeaux-style Red Blend","Flora Springs"
"21","South Africa",86,8,"Stellenbosch","Malan 2000 Family Vinter's Chardonnay (Stellenbosch)","Chardonnay","Malan"
"22","Italy",86,22,"Tuscany","Il Conventino 2014  Rosso di Montepulciano","Red Blend","Il Conventino"
"23","US",87,19,"California","Novy 2010 Gewürztraminer (Russian River Valley)","Gewürztraminer","Novy"
"24","Portugal",88,15,"Dão","Casa da Passarella 2011 Colheita Tinto Red (Dão)","Portuguese Red","Casa da Passarella"
"25","US",90,30,"California","Row Eleven 2013 Dutton Sanchietti Pinot Noir (Russian River Valley)","Pinot Noir","Row Eleven"
"26","Portugal",87,20,"Alentejano","Terra d'Alter 2009 Reserva Red (Alentejano)","Portuguese Red","Terra d'Alter"
"27","US",92,49,"California","Bravium 2013 Wiley Vineyard Pinot Noir (Anderson Valley)","Pinot Noir","Bravium"
"28","France",88,14,"Loire Valley","Domaine des Cognettes 2014 Les 2 Terres Sur Lie  (Muscadet Sèvre et Maine)","Melon","Domaine des Cognettes"
"29","US",92,85,"California","Super Sonoman 2008 Cabernet Sauvignon (Knights Valley)","Cabernet Sauvignon","Super Sonoman"
"30","Argentina",81,15,"Mendoza Province","Lagarde 2008 Reserva Viognier (Mendoza)","Viognier","Lagarde"
"31","US",92,24,"California","Lambert Bridge 1999 Merlot (Sonoma County)","Merlot","Lambert Bridge"
"32","US",88,30,"California","Weibel Family 2012 Patriot Red (Mendocino County)","Red Blend","Weibel Family"
"33","Italy",93,46,"Piedmont","Musso 2009 Pora  (Barbaresco)","Nebbiolo","Musso"
"34","US",87,16,"California","Santa Barbara Winery 2013 Sauvignon Blanc (Santa Ynez Valley)","Sauvignon Blanc","Santa Barbara Winery"
"35","US",87,24,"California","Frei Brothers 2006 Reserve Syrah (Russian River Valley)","Syrah","Frei Brothers"
"36","US",89,62,"California","Robinson Family Vineyards 2010 Estate Cabernet Sauvignon (Stags Leap District)","Cabernet Sauvignon","Robinson Family Vineyards"
"37","US",91,30,"California","Joseph Swan Vineyards 2011 Mancini Ranch Zinfandel (Russian River Valley)","Zinfandel","Joseph Swan Vineyards"
"38","Italy",88,20,"Lombardy","Pasini San Giovanni 2016  Lugana","Turbiana","Pasini San Giovanni"
"39","US",91,30,"Washington","Soos Creek 2012 Stampede Pass Cabernet Franc (Columbia Valley (WA))","Cabernet Franc","Soos Creek"
"40","Italy",90,NA,"Piedmont","Fratelli Casetta 2005 Riserva  (Barolo)","Nebbiolo","Fratelli Casetta"
"41","Argentina",91,18,"Mendoza Province","Finca Flichman 2012 Paisaje de Tupungato Red (Mendoza)","Bordeaux-style Red Blend","Finca Flichman"
"42","Chile",86,11,"Colchagua Valley","Domaines Barons de Rothschild (Lafite) 1999 Los Vascos Cabernet Sauvignon (Colchagua Valley)","Cabernet Sauvignon","Domaines Barons de Rothschild (Lafite)"
"43","Portugal",84,NA,"Lisboa","Dão Sul 2010 Cortello Branco White (Lisboa)","Portuguese White","Dão Sul"
"44","US",88,15,"California","Brassfield 2012 Serenity White (High Valley)","White Blend","Brassfield"
"45","France",93,NA,"Burgundy","Henri de Villamont 2013  Corton-Charlemagne","Chardonnay","Henri de Villamont"
"46","US",90,35,"California","Chronicle 2007 Pinot Noir (Sonoma Coast)","Pinot Noir","Chronicle"
"47","US",94,40,"California","Landmark 2014 Escolle Road Vineyard Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Landmark"
"48","France",92,27,"Provence","Les Vignobles Gueissard 2014 Cuvée Cros du Loup Red (Bandol)","Provence red blend","Les Vignobles Gueissard"
"49","Argentina",87,NA,"Mendoza Province","Salentein 2011 Killka Collection Malbec (Mendoza)","Malbec","Salentein"
"50","US",90,52,"California","Paraduxx 2010 C Blend Red (Napa Valley)","Red Blend","Paraduxx"
"51","Canada",93,85,"British Columbia","Le Vieux Pin 2012 Equinoxe Syrah (Okanagan Valley)","Syrah","Le Vieux Pin"
"52","US",90,45,"California","Lula 2013 Pinot Noir (Mendocino)","Pinot Noir","Lula"
"53","Spain",85,12,"Northern Spain","Montecillo 2007 Viura (Rioja)","Viura","Montecillo"
"54","US",92,36,"Washington","Cultura 2011 Meek Family Estate Vineyard Merlot (Yakima Valley)","Merlot","Cultura"
"55","Spain",86,13,"Northern Spain","Bodega La Serrana 2007 Legus Mencía (Bierzo)","Mencía","Bodega La Serrana"
"56","US",88,10,"California","Bogle 2012 Sauvignon Blanc (California)","Sauvignon Blanc","Bogle"
"57","Austria",89,25,"Carnuntum","Glatzer 2011 Altenberg St. Laurent (Carnuntum)","St. Laurent","Glatzer"
"58","Argentina",88,15,"Other","Areo 2009 Malbec (Neuquén)","Malbec","Areo"
"59","US",87,45,"California","Chandon 2007 Vintage Brut Sparkling (Mount Veeder)","Sparkling Blend","Chandon"
