IZ,name,YhospResp,EhospResp,employment,income,crime,housing,education,access,no2,pm10
S02001236,Culter,131,178.868849,4.714285714,5.571428571,82.11640557,0.083116764,-0.585358265,17.66004494,4.879259167,9.754761499
S02001237,"Cults, Bieldside and Milltimber West",69,166.70045,2.4,2,84.15075903,0.032365021,-1.51167049,38.09199766,5.978424109,8.995567044
S02001238,"Cults, Bieldside and Milltimber East",122,259.6868319,2.75,2.5,88.36352842,0.020871693,-1.845036648,36.63410556,8.406485834,9.77026375
S02001239,Garthdee,174,174.3615732,9.333333333,11.5,291.6169995,0.176945205,0.657694643,15.43188835,13.243315,10.60855
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",97,154.1145891,1.8,2.2,175.0903785,0.082630247,-1.155119074,10.95541939,16.020615,10.838975
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",101,177.2436919,1.4,2,76.84979699,0.040005924,-1.453285973,26.927815,13.91966,10.062155
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",98,194.4670519,2.2,2.6,109.9271624,0.050169311,-1.376411429,14.11706242,14.4550175,10.03232675
S02001243,Hazlehead,110,206.763744,5.333333333,5,211.1779796,0.066301835,-1.07726722,32.94344695,8.554532,9.111492286
S02001244,Summerhill,146,151.195521,10.2,11.8,386.4606682,0.149598581,0.32992249,16.57240995,13.2278525,9.65942425
S02001245,Midstocket,115,162.6862271,2.5,2.666666667,262.6003864,0.08130633,-1.421691772,9.594035738,19.204305,10.7274225
S02001246,Rosemount,101,147.6906847,5.428571429,6.142857143,290.5206217,0.236092583,-0.393266722,2.516323534,24.222075,12.214465
S02001247,West End North,63,124.4740389,1.25,1.5,468.4132165,0.050192765,-1.645533355,12.29803747,19.811455,10.969615
S02001248,West End South,94,170.1084079,2.142857143,2.285714286,195.4982309,0.143281201,-1.203983959,6.622044971,19.811455,10.969615
S02001249,City Centre West,75,96.1737832,5.8,6.8,1949.982679,0.255517004,0.084689807,2.197409858,24.0046325,12.2229575
S02001250,City Centre East,43,55.0030773,7.5,9,2965.130815,0.369983795,0.201521336,5.240680065,34.809705,12.893215
S02001251,Ferryhill North,98,124.1774525,3.428571429,3.714285714,274.6862789,0.184269541,-0.424486779,5.986071423,23.78719,12.23145
S02001252,Ferryhill South,136,173.6659613,3.4,4.2,187.84315,0.105440523,-0.952231389,9.383938516,17.41875,10.56309
S02001253,"Kincorth, Leggart and Nigg North",145,154.257078,9.4,12,352.0741903,0.143717962,0.486054712,8.080229583,15.17997,10.016028
S02001254,"Kincorth, Leggart and Nigg South",131,158.7268789,7.2,8.4,274.1583126,0.123054801,0.387766282,15.28040638,11.08161538,10.49271613
S02001255,Cove South,81,119.3042232,2,2.5,96.68821774,0.056216798,-0.539551774,24.19305408,9.3791175,10.245385
S02001256,Cove North,119,115.3975283,4.8,4.8,227.6990458,0.106517832,0.027703331,17.46923366,14.65103257,10.10943515
S02001257,Torry West,220,168.3228826,12.14285714,14.42857143,547.7617481,0.302644438,0.913793027,1.872043893,21.24008,11.096925
S02001258,Torry East,217,150.7761619,16.16666667,21.66666667,687.7557157,0.226892147,1.295164406,12.58931581,31.04485,10.851625
S02001259,Hanover South,102,86.7265856,7.75,9.25,540.2275581,0.28572269,0.2275252,6.959879032,36.36625,13.66672
S02001260,Hanover North,45,90.6249604,5.5,5.5,381.2788742,0.342489038,-0.115543528,5.498339377,21.509515,11.636115
S02001261,George Street,170,165.6963538,8.25,9.375,613.615779,0.309117092,0.293082125,2.552678849,19.516925,11.349155
S02001262,Ashgrove,92,99.7230012,9,8.4,1209.217591,0.206694203,0.192567509,9.47179509,17.48655,10.357505
S02001263,"Froghall, Powis and Sunnybank",108,131.9645061,4.375,5.5,298.0358974,0.307387759,0.267463747,4.666217793,19.516925,11.349155
S02001264,Seaton,135,128.1060567,11.2,12.2,548.3040445,0.28641123,0.34612812,6.093586034,21.509515,11.636115
S02001265,Old Aberdeen,123,122.1652315,8.25,12,468.2414457,0.239385222,0.779488002,9.951478589,18.275315,11.49991
S02001266,Tillydrone,203,165.1411779,13.5,16.83333333,529.0700451,0.189465118,1.028957067,8.58580027,16.36261,10.82537
