"track_id"	"track_artist"	"track_popularity"	"playlist_genre"	"danceability"	"energy"	"duration_ms"
"28860"	"Ryan Shepherd"	29	"edm"	0.724	0.858	180682
"22986"	"Carly Pearce"	74	"r&b"	0.591	0.815	198689
"26322"	"Mondo Grosso"	39	"r&b"	0.636	0.807	292865
"21769"	"Sonder"	63	"r&b"	0.395	0.33	308006
"20226"	"Silvio Luz"	0	"latin"	0.793	0.972	278120
"11900"	"Maria Muldaur"	35	"rock"	0.663	0.512	224987
"5935"	"Bankrol Hayden"	67	"rap"	0.9	0.482	114965
"25527"	"500 Year Flood"	15	"r&b"	0.599	0.423	221942
"19483"	"Bad Gyal"	77	"latin"	0.637	0.65	186120
"22214"	"Normani"	67	"r&b"	0.578	0.588	215671
"320"	"Chico Rose"	75	"pop"	0.717	0.716	161280
"20930"	"Funky"	49	"latin"	0.727	0.899	238711
"11188"	"Young Thug"	82	"rap"	0.823	0.476	174067
"24519"	"Donell Jones"	48	"r&b"	0.822	0.482	240813
"20400"	"Milly"	63	"latin"	0.754	0.847	311787
"5116"	"Phum Viphurit"	67	"pop"	0.798	0.556	236727
"26950"	NA	NA	"0"	NA	NA	NA
"32585"	"Stan Kolev"	7	"edm"	0.772	0.637	470366
"14220"	"Elemeno P"	1	"rock"	0.438	0.697	187246
"4345"	"Casey Conroy"	29	"pop"	0.745	0.299	218972
"15279"	"Scorpions"	41	"rock"	0.269	0.488	297120
"3424"	"R.E.M."	63	"pop"	0.488	0.841	197800
"24790"	"Wreckx-N-Effect"	22	"r&b"	0.812	0.885	217853
"2762"	"Javiera Mena"	0	"pop"	0.658	0.777	292800
"20598"	"Stevie B"	36	"latin"	0.756	0.814	267840
"4302"	"Sunfish"	32	"pop"	0.869	0.706	182825
"23986"	"The Pharcyde"	2	"r&b"	0.763	0.76	301840
"17043"	"Two Can"	0	"latin"	0.57	0.878	217635
"6977"	"Living Legends"	6	"rap"	0.835	0.899	236000
"542"	"The Chainsmokers"	85	"pop"	0.584	0.607	194827
"31887"	"Horny United"	18	"edm"	0.848	0.635	334002
"16937"	"soder."	55	"latin"	0.642	0.696	95524
"4047"	"MØ"	71	"pop"	0.695	0.672	235827
"2072"	"P!nk"	67	"pop"	0.537	0.866	215160
"5643"	"SamuW"	50	"rap"	0.754	0.299	135026
"8113"	"Chance the Rapper"	69	"rap"	0.704	0.777	141542
"7120"	"South Circle"	28	"rap"	0.706	0.732	270560
"14784"	"Otherwise"	46	"rock"	0.631	0.781	176760
"9729"	"Cartel De Santa"	46	"rap"	0.691	0.684	222413
"25160"	"Blanche J"	40	"r&b"	0.712	0.566	236650
"29021"	"Shadw"	9	"edm"	0.639	0.928	307622
"16168"	"Puddle Of Mudd"	7	"rock"	0.431	0.94	304000
"1181"	"Chip Conyard"	33	"pop"	0.593	0.522	173636
"10226"	"Ysy A"	65	"rap"	0.744	0.702	160078
"24856"	"The Tony Rich Project"	53	"r&b"	0.64	0.433	306933
"20965"	"Edu Linares"	0	"latin"	0.68	0.884	204375
"17861"	"Myke Towers"	84	"latin"	0.817	0.672	332240
"12195"	"Sleigh Bells"	42	"rock"	0.695	0.829	156760
"14727"	"The Word Alive"	54	"rock"	0.456	0.93	238680
"14764"	"Sleeping With Sirens"	62	"rock"	0.555	0.925	198248
"13563"	"Fleetwood Mac"	69	"rock"	0.622	0.54	264907
"4348"	"Blake Rose"	69	"pop"	0.595	0.687	234623
"2439"	"Röyksopp"	45	"pop"	0.357	0.544	376721
"261"	"Jess Glynne"	52	"pop"	0.739	0.622	217804
"12063"	"ONE OK ROCK"	42	"rock"	0.31	0.634	256067
"17772"	"Marcos Menchaca"	51	"latin"	0.69	0.513	175560
"14799"	"Of Virtue"	47	"rock"	0.5	0.948	214667
"9208"	"Mobb Deep"	66	"rap"	0.875	0.658	274093
"11482"	"The Cranberries"	72	"rock"	0.551	0.643	271560
"32692"	"Sunnery James & Ryan Marciano"	45	"edm"	0.572	0.942	174375
"698"	"Lérica"	49	"pop"	0.679	0.857	187940
"4626"	"Yoke Lore"	50	"pop"	0.47	0.67	204213
"11549"	"The Power Station"	42	"rock"	0.732	0.893	305467
"30028"	"Phi11a"	45	"edm"	0.669	0.781	106283
"23166"	"Ed Sheeran"	91	"r&b"	0.857	0.621	204467
"11824"	"Golden Earring"	64	"rock"	0.504	0.719	386707
"8997"	"G-Unit"	67	"rap"	0.769	0.818	240800
"4787"	"Lauren Sanderson"	49	"pop"	0.731	0.362	149692
"19825"	"IAmChino"	69	"latin"	0.761	0.829	252003
"22771"	"Pelé MilFlows"	47	"r&b"	0.674	0.575	176000
"22322"	"Dermot Kennedy"	71	"r&b"	0.42	0.843	206960
"4788"	"Blanks"	49	"pop"	0.727	0.75	177848
"20469"	"Future"	68	"latin"	0.874	0.568	237400
"6730"	"Karan Aujla"	52	"rap"	0.703	0.662	200391
"23506"	"Mandolin Orange"	17	"r&b"	0.532	0.317	193672
"15320"	"Wake Me"	44	"rock"	0.523	0.919	295987
"18845"	"Mike Bahía"	64	"latin"	0.757	0.824	206968
"8378"	"Fat Joe"	54	"rap"	0.744	0.697	247413
"31430"	"EDX"	25	"edm"	0.771	0.733	332529
"2846"	"Hailee Steinfeld"	81	"pop"	0.663	0.708	174800
"14179"	"Cold Chisel"	0	"rock"	0.681	0.893	205132
"25353"	"Jessie Reyez"	74	"r&b"	0.726	0.636	225040
"23763"	"Harry Styles"	74	"r&b"	0.585	0.62	172227
"4594"	"STRFKR"	53	"pop"	0.706	0.69	230053
"26416"	"Rihanna"	0	"r&b"	0.399	0.203	72080
"24034"	NA	NA	"0"	NA	NA	NA
"7564"	"P$C"	47	"rap"	0.73	0.483	212800
"11634"	"Miguel Rios"	0	"rock"	0.572	0.77	93627
"5153"	"Alison Wonderland"	44	"pop"	0.591	0.828	232302
"2732"	"David Guetta"	71	"pop"	0.596	0.73	192560
"12752"	"Dan Hill"	61	"rock"	0.589	0.348	252707
"10394"	"Myke Towers"	74	"rap"	0.834	0.75	217227
"32224"	"Dada Life"	38	"edm"	0.646	0.904	177209
"26024"	"Devonté Hynes"	1	"r&b"	0.723	0.757	231468
"31975"	"LZ7"	33	"edm"	0.467	0.873	255897
"32344"	"David Guetta"	30	"edm"	0.329	0.811	205591
"30472"	"BTS"	0	"edm"	0.428	0.708	203430
"19064"	"J Balvin"	73	"latin"	0.684	0.811	250840
"21258"	"The Sugarhill Gang"	42	"latin"	0.854	0.936	244347
"22684"	"Charles Wright & The Watts 103rd Street Rhythm Band"	59	"r&b"	0.789	0.683	233613
"3699"	"Scenic"	0	"pop"	0.617	0.896	223927
"13317"	"Heart"	7	"rock"	0.538	0.908	262507
"2923"	"The Weeknd"	80	"pop"	0.773	0.819	269187
"11649"	"Miguel Rios"	63	"rock"	0.545	0.682	224827
"23503"	"Mile Twelve"	36	"r&b"	0.57	0.419	203356
"6968"	"Dom Kennedy"	44	"rap"	0.867	0.697	211881
"25228"	"Raheem DeVaughn"	31	"r&b"	0.523	0.673	298373
"9575"	"Comethazine"	68	"rap"	0.935	0.699	117073
"1723"	"Selena Gomez"	68	"pop"	0.672	0.593	229080
"13879"	"Coldplay"	52	"rock"	0.359	0.779	236213
"2047"	"Lauv"	85	"pop"	0.746	0.45	232853
"13455"	"Tyler Bryant & the Shakedown"	1	"rock"	0.646	0.724	265587
"4678"	"Jonas Blue"	75	"pop"	0.652	0.897	193377
"13101"	"Aerosmith"	30	"rock"	0.449	0.833	308640
"12433"	"Boston"	78	"rock"	0.377	0.682	285133
"24142"	"Changing Faces"	37	"r&b"	0.73	0.731	216546
"14095"	"The Cure"	60	"rock"	0.476	0.764	448307
"13655"	"Fiona Apple"	61	"rock"	0.595	0.804	341533
"15658"	"Dire Straits"	9	"rock"	0.73	0.869	346600
"3018"	"DROELOE"	56	"pop"	0.593	0.569	220800
"24406"	"Johnny Gill"	46	"r&b"	0.66	0.873	332307
