HealthAuthority,Region,Deprivation,Maternities,Smoking,SmokingUnknown,Breastfeeding,BreastfeedingUnknown
South Gloucestershire PCT,South West,9.58,758,90,0,593,29
Havering PCT,London,16.07,682,85,1,485,14
Kingston PCT,London,13.1,627,35,0,551,17
Bromley PCT,London,14.36,983,61,0,805,1
Greenwich Teaching PCT,London,33.94,979,89,18,814,0
Barnet PCT,London,21.16,1136,55,6,1038,8
Hillingdon PCT,London,18.56,909,74,2,738,1
Enfield PCT,London,26.19,1088,55,2,974,11
Barking And Dagenham PCT,London,34.49,836,110,1,604,13
City And Hackney Teaching PCT,London,44.91,1076,75,2,991,2
Tower Hamlets PCT,London,44.64,920,40,0,830,15
Newham PCT,London,42.95,1517,71,32,1379,45
Haringey Teaching PCT,London,35.73,971,65,6,892,38
Herefordshire PCT,West Midlands,17.55,421,43,23,313,19
Milton Keynes PCT,South Central,15.11,943,120,37,696,24
Newcastle PCT,North East,31.36,738,139,0,470,4
North Tyneside PCT,North East,23.51,573,78,1,356,3
Hartlepool PCT,North East,34.1,299,65,2,135,4
North Tees PCT,North East,23.8,587,100,0,355,2
North Lincolnshire PCT,Yorkshire and The Humber,22.11,418,84,11,232,0
Nottingham City PCT,East Midlands,37.3,1145,211,18,815,30
Bassetlaw PCT,East Midlands,24.11,296,59,0,202,0
Plymouth Teaching PCT,South West,26.11,841,153,17,583,9
Salford PCT,North West,36.51,776,141,22,467,1
Stockport PCT,North West,18.06,842,120,13,609,16
Portsmouth City Teaching PCT,South Central,24.21,673,134,0,493,0
Bath And North East Somerset PCT,South West,11.47,493,56,0,402,13
Luton PCT,East of England,24.73,899,143,0,637,0
Hammersmith And Fulham PCT,London,28.07,629,27,2,571,0
Rotherham PCT,Yorkshire and The Humber,26.71,727,140,34,474,0
Ashton Leigh And Wigan PCT,North West,26.91,892,155,1,494,2
Blackpool PCT,North West,37.66,389,113,4,210,12
Bolton PCT,North West,29.67,984,196,0,687,0
Ealing PCT,London,25.1,1540,55,0,1397,0
Hounslow PCT,London,23.2,1064,85,0,919,0
Warrington PCT,North West,17.89,562,71,6,340,7
Knowsley PCT,North West,43.2,479,111,0,178,0
