Response 1,Right answer 1,Response 2,Right answer 2,Response 3,Right answer 3,Response 4,Right answer 4,Response 5,Right answer 5,Response 6,Right answer 6,Response 7,Right answer 7,Response 8,Right answer 8,Response 9,Right answer 9,Response 10,Right answer 10,Response 11,Right answer 11,Response 12,Right answer 12,Response 13,Right answer 13
40,51,28,37,50,63,36,38,18,42,20,49,30,60,16,30,55,75,35,58,45,50,60,73,45,35
50,51,30,37,40,63,35,38,40,42,30,49,35,60,30,30,50,75,25,58,35,50,50,73,30,35
33,51,32,37,42,63,29,38,35,42,38,49,45,60,40,30,60,75,30,58,35,50,65,73,25,35
45,51,39,37,50,63,40,38,44,42,35,49,48,60,37,30,53,75,46,58,32,50,66,73,37,35
43,51,38,37,50,63,36,38,46,42,26,49,33,60,26,30,53,75,30,58,38,50,53,73,23,35
45,51,40,37,50,63,39,38,52,42,32,49,36,60,33,30,65,75,29,58,48,50,65,73,28,35
40,51,32,37,50,63,25,38,35,42,24,49,27,60,25,30,60,75,25,58,40,50,65,73,27,35
45,51,31,37,46,63,35,38,38,42,26,49,30,60,32,30,56,75,29,58,36,50,64,73,27,35
50,51,45,37,56,63,48,38,45,42,40,49,42,60,28,30,60,75,51,58,48,50,60,73,35,35
46,51,34,37,45,63,27,38,47,42,25,49,33,60,30,30,52,75,25,58,37,50,65,73,25,35
50,51,29,37,50,63,36,38,38,42,27,49,30,60,17,30,60,75,29,58,34,50,69,73,26,35
35,51,39,37,55,63,40,38,44,42,30,49,45,60,25,30,65,75,40,58,35,50,70,73,28,35
33,51,27,37,38,63,28,38,35,42,25,49,30,60,28,30,60,75,26,58,37,50,65,73,27,35
50,51,28,37,40,63,35,38,40,42,25,49,30,60,23,30,50,75,25,58,35,50,60,73,30,35
40,51,40,37,50,63,35,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
40,51,32,37,48,63,30,38,35,42,25,49,35,60,23,30,56,75,30,58,28,50,65,73,28,35
35,51,30,37,38,63,33,38,45,42,32,49,27,60,23,30,50,75,29,58,45,50,55,73,28,35
50,51,35,37,65,63,38,38,42,42,34,49,30,60,29,30,70,75,40,58,45,50,65,73,28,35
45,51,38,37,45,63,40,38,38,42,33,49,33,60,34,30,45,75,38,58,40,50,45,73,38,35
40,51,25,37,44,63,30,38,22,42,28,49,20,60,18,30,45,75,22,58,36,50,50,73,24,35
