"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"1",69306277,"Tables & desks",979,TRUE,"No",NA,75,74
"2",59297438,"Bookcases & shelving units",140,TRUE,"No",51,73,25
"3",19103183,"Tables & desks",4295,TRUE,"No",NA,75,78
"4",80153800,"Nursery furniture",275,TRUE,"No",44,56,99
"5",29265014,"Outdoor furniture",1676,TRUE,"Yes",NA,73,90
"6",10243574,"Children's furniture",49,TRUE,"No",NA,76,76
"7",59284351,"Sofas & armchairs",3845,TRUE,"Yes",151,83,291
"8",49336077,"Tables & desks",495,TRUE,"Yes",NA,NA,75
"9",29256142,"Sofas & armchairs",840,TRUE,"Yes",NA,NA,NA
"10",9248916,"Cabinets & cupboards",693,TRUE,"No",35,105,95
"11",69260081,"Children's furniture",665,TRUE,"No",NA,56,62
"12",10455410,"Tables & desks",745,TRUE,"No",47,187,70
"13",69130612,"Chairs",2095,TRUE,"No",NA,75,78
"14",10346077,"Tables & desks",476,TRUE,"No",NA,74,98
"15",80356341,"Tables & desks",475,TRUE,"Yes",NA,NA,60
"16",89227873,"Wardrobes",1499,TRUE,"Yes",58,201,150
"17",30424007,"Tables & desks",995,TRUE,"No",46,NA,79
"18",49267286,"Sofas & armchairs",3925,TRUE,"No",94,90,326
"19",19129178,"Sofas & armchairs",1075,TRUE,"Yes",88,88,179
"20",19130501,"Tables & desks",1975,TRUE,"No",NA,73,90
"21",40273593,"Children's furniture",89,TRUE,"No",24,NA,24
"22",50192822,"Chests of drawers & drawer units",550,TRUE,"Yes",48,116,36
"23",40366115,"Trolleys",1495,TRUE,"No",62,90,79
"24",10409871,"Cabinets & cupboards",476,TRUE,"Yes",35,190,80
"25",70452593,"Tables & desks",595,TRUE,"Yes",NA,NA,NA
"26",99217755,"Bookcases & shelving units",995,TRUE,"Yes",30,237,80
"27",80385616,"Cabinets & cupboards",516,TRUE,"Yes",30,202,80
"28",80450353,"Bookcases & shelving units",75,TRUE,"No",30,14,39
"29",39311256,"Bookcases & shelving units",745,TRUE,"No",51,173,173
"30",10357004,"Cabinets & cupboards",35,TRUE,"No",38,NA,NA
"31",10411143,"Outdoor furniture",95,TRUE,"Yes",NA,NA,45
"32",89329536,"Wardrobes",2940,TRUE,"No",60,236,150
"33",20400276,"Tables & desks",645,TRUE,"No",NA,40,70
"34",89256610,"Sofas & armchairs",8900,TRUE,"No",252,104,327
"35",40365366,"Outdoor furniture",59,TRUE,"No",36,67,39
"36",20273141,"Bookcases & shelving units",17,TRUE,"Yes",24,NA,NA
"37",10201673,"Tables & desks",175,TRUE,"No",NA,50,50
"38",9320813,"Tables & desks",1000,TRUE,"Yes",NA,NA,70
"39",80418056,"Chairs",134,TRUE,"No",56,68,47
"40",20308697,"Nursery furniture",320,TRUE,"No",44,52,94
"41",20398754,"Sofas & armchairs",550,TRUE,"Yes",NA,NA,NA
"42",49297274,"Chairs",1266,TRUE,"No",NA,NA,NA
"43",59191026,"Cabinets & cupboards",1391,TRUE,"No",35,72,280
"44",79279419,"Sofas & armchairs",640,TRUE,"Yes",80,45,100
"45",99329140,"Wardrobes",2250,TRUE,"Yes",60,236,100
"46",59254165,"Tables & desks",2725,TRUE,"No",NA,74,87
"47",40293567,"TV & media furniture",35,TRUE,"Yes",44,100,44
"48",10273090,"Bookcases & shelving units",12,TRUE,"No",25,NA,NA
"49",40400478,"Wardrobes",475,TRUE,"No",50,190,78
"50",99011764,"Chairs",149,TRUE,"No",NA,72,75
"51",40033763,"Cabinets & cupboards",295,TRUE,"No",30,83,80
"52",99285042,"Sofas & armchairs",4740,TRUE,"Yes",98,83,249
"53",99286862,"Bookcases & shelving units",1578,TRUE,"Yes",42,210,300
"54",79046991,"Tables & desks",1834,TRUE,"No",80,NA,NA
"55",30339896,"Chairs",100,TRUE,"No",NA,39,NA
"56",19241472,"Outdoor furniture",5144,TRUE,"Yes",144,87,287
"57",9251824,"Tables & desks",4745,TRUE,"No",NA,74,100
"58",10400540,"Bar furniture",345,TRUE,"No",52,114,43
"59",20396255,"Sofas & armchairs",145,TRUE,"Yes",NA,NA,NA
"60",69017828,"Bookcases & shelving units",575,TRUE,"Yes",30,202,80
"61",29297454,"Sofas & armchairs",1676,TRUE,"Yes",90,79,200
"62",30306495,"Children's furniture",100,TRUE,"Yes",17,39,64
"63",99286838,"TV & media furniture",1719,TRUE,"Yes",40,220,210
"64",9297134,"Chests of drawers & drawer units",150,TRUE,"No",51,70,50
"65",39306250,"Chairs",979,TRUE,"No",NA,75,74
"66",49311492,"Bookcases & shelving units",95,TRUE,"No",51,104,50
"67",30250257,"Tables & desks",75,TRUE,"No",NA,70,NA
"68",60175006,"Chairs",19,TRUE,"No",40,NA,NA
"69",50357002,"TV & media furniture",25,TRUE,"No",38,NA,NA
"70",69286806,"Chests of drawers & drawer units",1000,TRUE,"Yes",45,61,41
"71",79217921,"Sofas & armchairs",1910,TRUE,"Yes",NA,NA,NA
"72",9246088,"Chairs",5275,TRUE,"No",NA,74,85
"73",89253169,"Nursery furniture",995,TRUE,"No",NA,86,66
"74",50240031,"Outdoor furniture",129,TRUE,"No",49,87,36
"75",9213931,"Tables & desks",1590,TRUE,"No",NA,73,75
"76",99157577,"Wardrobes",2074,TRUE,"No",55,216,165
"77",29221765,"Tables & desks",660,TRUE,"No",35,176,86
"78",9384051,"Bookcases & shelving units",3986,TRUE,"Yes",37,197,270
"79",40218554,"Bookcases & shelving units",15.6,TRUE,"Yes",38,NA,40
"80",79284468,"Sofas & armchairs",2775,TRUE,"Yes",99,83,192
"81",353761,"Chests of drawers & drawer units",200,TRUE,"Yes",23,23,58
"82",80373618,"Outdoor furniture",395,TRUE,"Yes",NA,51,62
"83",50295306,"TV & media furniture",150,TRUE,"Yes",40,NA,180
"84",19290014,"Beds",3340,TRUE,"Yes",97,95,160
"85",429426,"Chairs",150,TRUE,"Yes",23,64,4
"86",20429010,"Bar furniture",395,TRUE,"Yes",48,100,42
"87",10330811,"Nursery furniture",110,TRUE,"No",37,40,35
"88",29286865,"Cabinets & cupboards",1578,TRUE,"Yes",42,210,300
"89",69217790,"Sofas & armchairs",1176,TRUE,"Yes",78,69,212
"90",60364295,"Bookcases & shelving units",145,TRUE,"No",36,94,92
"91",399033,"Chairs",1195,TRUE,"No",84,90,87
"92",89309722,"Bookcases & shelving units",235,TRUE,"No",30,124,89
"93",19255845,"Sofas & armchairs",1135,TRUE,"Yes",NA,NA,NA
"94",29336356,"Cabinets & cupboards",125,TRUE,"Yes",25,35,35
"95",59248867,"Cabinets & cupboards",580,TRUE,"Yes",35,60,140
"96",39221190,"Tables & desks",2165,TRUE,"No",NA,NA,NA
"97",246196,"Chairs",25,TRUE,"No",NA,NA,40
"98",9219457,"Sofas & armchairs",2055,TRUE,"Yes",98,80,211
"99",19252615,"Chairs",235,TRUE,"No",61,82,56
"100",29320732,"Wardrobes",3190,TRUE,"Yes",60,236,150
"101",10471085,"Chairs",545,TRUE,"No",59,107,51
"102",257953,"Beds",1095,TRUE,"No",NA,103,66
"103",49046068,"Beds",849,TRUE,"No",NA,80,NA
"104",30171123,"Children's furniture",175,TRUE,"No",30,145,46
"105",59177624,"Bookcases & shelving units",1735,TRUE,"Yes",30,237,120
"106",80433486,"Children's furniture",295,TRUE,"No",40,64,60
"107",40400529,"Bar furniture",796,TRUE,"No",NA,105,80
"108",99211758,"Chests of drawers & drawer units",1060,TRUE,"No",47,122,80
"109",30263844,"Bookcases & shelving units",115,TRUE,"Yes",28,106,80
"110",79305512,"Chairs",1300,TRUE,"Yes",163,83,90
"111",29300121,"Wardrobes",1260,TRUE,"No",38,236,100
"112",10424621,"Sofas & armchairs",345,TRUE,"Yes",76,70,119
"113",9287192,"Cabinets & cupboards",1345,TRUE,"Yes",47,119,80
"114",69325214,"Wardrobes",2246,TRUE,"No",42,201,300
"115",19046574,"Tables & desks",5300,TRUE,"Yes",220,NA,NA
"116",79295551,"Sofas & armchairs",2665,TRUE,"Yes",98,103,241
"117",20229011,"Chests of drawers & drawer units",395,TRUE,"No",40,75,80
"118",69286806,"Cabinets & cupboards",1000,TRUE,"Yes",45,61,41
"119",50420329,"Bar furniture",177,TRUE,"No",53,104,43
"120",397736,"Chairs",395,TRUE,"No",47,103,46
"121",39325022,"Wardrobes",3935,TRUE,"Yes",60,236,200
"122",69256569,"Sofas & armchairs",5600,TRUE,"No",98,104,235
"123",9157529,"Wardrobes",1518,TRUE,"No",55,216,165
"124",29161484,"Chairs",1675,TRUE,"No",NA,74,78
"125",79288273,"Tables & desks",3664,TRUE,"Yes",NA,NA,80
"126",9257029,"Sofas & armchairs",3908,TRUE,"No",98,102,259
"127",30308395,"Bar furniture",175,TRUE,"No",44,63,44
"128",70451640,"Chairs",100,TRUE,"No",NA,42,NA
"129",40347886,"Cabinets & cupboards",25,TRUE,"No",11,NA,33
"130",99221026,"Bookcases & shelving units",978,TRUE,"Yes",35,105,70
"131",69297249,"Tables & desks",1085,TRUE,"No",NA,NA,74
"132",60441581,"Bookcases & shelving units",60,TRUE,"Yes",NA,26,60
"133",50211104,"Tables & desks",549,TRUE,"No",NA,NA,NA
"134",60308676,"Chairs",250,TRUE,"Yes",68,NA,68
"135",89280380,"Tables & desks",1385,TRUE,"No",NA,104,74
"136",99241840,"Sofas & armchairs",1680,TRUE,"Yes",88,85,181
"137",29161573,"Tables & desks",6965,TRUE,"No",NA,74,100
"138",40322876,"Bookcases & shelving units",270,TRUE,"No",35,NA,81
"139",348717,"Bookcases & shelving units",25,TRUE,"No",NA,NA,NA
"140",80035920,"Trolleys",645,TRUE,"No",NA,90,43
"141",29266184,"Beds",7785,TRUE,"Yes",98,102,294
"142",49133616,"Bookcases & shelving units",755,TRUE,"Yes",159,147,147
"143",9305087,"Bookcases & shelving units",135,TRUE,"No",51,70,25
"144",70424147,"Outdoor furniture",1036,TRUE,"No",64,75,146
"145",79227755,"Beds",375,TRUE,"No",NA,NA,96
"146",49249396,"Cabinets & cupboards",875,TRUE,"No",47,167,45
"147",69337801,"Children's furniture",200,FALSE,"Yes",30,94,46
"148",80419961,"Bookcases & shelving units",25,TRUE,"No",NA,NA,NA
