"","country","points","price","province","title","variety","winery"
"1","US",87,48,"New York","One Woman 2008 Estate Reserve Merlot (North Fork of Long Island)","Merlot","One Woman"
"2","US",90,54,"California","Cakebread 2013 Merlot (Napa Valley)","Merlot","Cakebread"
"3","France",85,12,"Bordeaux","Barton & Guestier 2008 Les Charmes de Magnol  (Médoc)","Bordeaux-style Red Blend","Barton & Guestier"
"4","Spain",83,13,"Northern Spain","Bodegas Paniza 2015 Agostón Garnacha-Syrah (Cariñena)","Garnacha-Syrah","Bodegas Paniza"
"5","US",91,30,"Oregon","Amalie Robert 2014 Our Muse Viognier (Willamette Valley)","Viognier","Amalie Robert"
"6","Portugal",92,30,"Bairrada","Adega de Cantanhede 2010 Marquês de Marialva Grande Reserva Red (Bairrada)","Portuguese Red","Adega de Cantanhede"
"7","US",91,14,"Washington","Charles & Charles 2014 Post No. 35 Cabernet Sauvignon-Syrah (Columbia Valley (WA))","Cabernet Sauvignon-Syrah","Charles & Charles"
"8","France",96,370,"Burgundy","Louis Jadot 2013  Bâtard-Montrachet","Chardonnay","Louis Jadot"
"9","Italy",90,22,"Tuscany","Carobbio 2013  Chianti Classico","Red Blend","Carobbio"
"10","US",93,36,"California","Big Basin 2012 Homestead Red (California)","Red Blend","Big Basin"
"11","US",88,35,"Washington","Januik 2014 Ciel du Cheval Vineyard Syrah (Red Mountain)","Syrah","Januik"
"12","US",94,70,"California","Lynmar 2012 Jenkins Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Lynmar"
"13","US",87,28,"California","Gibbs 2013 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Gibbs"
"14","Portugal",87,NA,"Port","Niepoort NV White  (Port)","Port","Niepoort"
"15","Austria",88,17,"Leithaberg","Mariell 2010 Chardonnay (Leithaberg)","Chardonnay","Mariell"
"16","US",87,17,"California","Courtney Benham 2012 Unoaked Chardonnay (Santa Barbara County)","Chardonnay","Courtney Benham"
"17","US",84,14,"California","Montage 2007 Chardonnay (California)","Chardonnay","Montage"
"18","US",86,17,"California","Michael Pozzan 2010 Annabella Pinot Noir (Sonoma Coast)","Pinot Noir","Michael Pozzan"
