year,month,day,doy,Ammonia,censored
1995,11,21,326,0.064,FALSE
1995,9,30,274,0.03,TRUE
1995,4,24,115,0.03,TRUE
1996,3,20,80,0.049,FALSE
2004,3,24,84,0.03,TRUE
2003,7,24,206,0.03,TRUE
2002,12,22,357,0.174,FALSE
2002,11,13,318,0.115,FALSE
2002,7,25,207,0.03,TRUE
2000,11,2,307,0.091,FALSE
1997,3,17,77,0.074,FALSE
2009,2,10,41,0.212,FALSE
2005,3,15,75,0.044,FALSE
2005,3,15,75,0.023,FALSE
2005,3,15,75,0.024,FALSE
2005,3,16,76,0.028,FALSE
2005,3,23,83,0.039,FALSE
2005,3,22,82,0.073,FALSE
2005,3,23,83,0.027,FALSE
2005,3,23,83,0.031,FALSE
2004,8,20,233,0.061,FALSE
2008,11,12,317,0.042,FALSE
2008,6,12,164,0.108,FALSE
2008,3,29,89,0.078,FALSE
2007,9,26,270,0.03,TRUE
2007,6,20,172,0.0459,FALSE
2000,12,7,342,0.093,FALSE
2000,5,31,152,0.03,TRUE
1995,6,13,165,0.03,TRUE
1996,9,17,261,0.03,FALSE
1996,7,3,185,0.079,FALSE
1996,7,24,206,0.179,FALSE
2004,2,10,41,0.236,FALSE
2002,12,18,353,0.052,FALSE
2002,10,2,276,0.03,TRUE
2001,11,14,319,0.03,TRUE
2001,8,7,220,0.03,TRUE
2001,7,26,208,0.03,TRUE
2001,7,14,196,0.051,FALSE
2001,5,1,122,0.03,TRUE
2009,4,12,103,0.03,TRUE
2006,12,12,347,0.0406,FALSE
2005,3,15,75,0.032,FALSE
2005,3,16,76,0.022,FALSE
2005,3,15,75,0.026,FALSE
2005,3,16,76,0.018,FALSE
2005,3,23,83,0.036,FALSE
2005,3,16,76,0.033,FALSE
2008,7,31,213,0.06,FALSE
2008,4,14,105,0.03,TRUE
2007,8,1,214,0.03,TRUE
2005,9,29,273,0.03,TRUE
2005,6,9,161,0.03,TRUE
1998,12,9,344,0.065,FALSE
1998,5,22,143,0.03,TRUE
1995,8,14,227,0.03,TRUE
1998,9,28,272,0.03,TRUE
1998,11,17,322,0.03,TRUE
2003,6,4,156,0.041,FALSE
2002,8,7,220,0.048,FALSE
2002,5,19,140,0.107,FALSE
2001,9,29,273,0.06,FALSE
2001,8,21,234,0.03,TRUE
2001,1,18,18,0.27,FALSE
2000,9,14,258,0.058,FALSE
2009,5,7,128,0.03,TRUE
2009,2,28,59,0.03,TRUE
2007,2,20,51,0.0372,FALSE
2005,3,22,82,0.042,FALSE
2005,3,23,83,0.07,FALSE
2005,3,16,76,0.015,FALSE
2005,3,22,82,0.051,FALSE
2005,3,23,83,0.023,FALSE
2005,3,23,83,0.034,FALSE
2005,1,18,18,0.03,TRUE
2008,8,31,244,0.03,TRUE
2007,11,1,306,0.03,TRUE
2005,10,18,292,0.042,FALSE
2005,8,7,220,0.03,TRUE
