Index,Time,Wind,Competitor,DOB,Country,Venue,Date,Altitude
1,47.80,,Maxey LONG,16/10/1878,USA,"New York, NY (USA)",29/09/1900,10
2,48.20,,Charles REIDPATH,20/09/1889,USA,Stockholm (SWE),13/07/1912,28
3,47.40,,Ted MEREDITH,14/11/1891,USA,"Cambridge, MA (USA)",27/05/1916,6
4,47.00,,Bud SPENCER,14/10/1906,USA,"Palo Alto, CA (USA)",12/05/1928,9.14
5,46.40,,Ben EASTMAN,09/07/1911,USA,"Palo Alto, CA (USA)",26/03/1932,9.14
6,46.20,,Bill CARR,24/10/1909,USA,"Los Angeles, CA (USA)",05/08/1932,93
7,46.10,,Archie WILLIAMS,01/05/1915,USA,"Chicago, IL (USA)",19/06/1936,182
8,46.00,,Rudolf HARBIG,08/11/1913,GER,Frankfurt (GER),12/08/1939,112
9,46.00,,Grover KLEMMER,16/03/1921,USA,"Philadelphia, PA (USA)",29/06/1941,12
10,46.00,,Herb MCKENLEY,10/07/1922,JAM,"Berkeley, CA (USA)",05/06/1948,52
11,45.90,,Herb MCKENLEY,10/07/1922,JAM,"Milwaukee, WI (USA)",02/07/1948,188
12,45.80,,George RHODEN,13/12/1926,JAM,Eskilstuna (SWE),22/08/1950,26
13,45.40,,Lou JONES,15/01/1932,USA,Ciudad de México (MEX),18/03/1955,2250
14,45.20,,Lou JONES,15/01/1932,USA,"Los Angeles, CA (USA)",30/06/1956,93
15,44.90,,Otis DAVIS,12/07/1932,USA,Roma (ITA),06/09/1960,21
16,44.90,,Carl KAUFMANN,25/03/1936,FRG,Roma (ITA),06/09/1960,21
17,44.90,,Adolph PLUMMER,03/01/1938,USA,"Tempe, AZ (USA)",25/05/1963,354
18,44.90,,Mike LARRABEE,02/12/1933,USA,"Los Angeles, CA (USA)",12/09/1964,93
19,44.50,,Tommie SMITH,12/06/1944,USA,San José (USA),20/05/1967,25
20,44.10,,Larry JAMES,06/11/1947,USA,Echo Summit (USA),14/09/1968,2250
21,43.86,,Lee EVANS,25/02/1947,USA,Ciudad de México (Estadio Olímp),18/10/1968,2250
22,43.29,,Butch REYNOLDS,08/06/1964,USA,Zürich (SUI),17/08/1988,408
23,43.18,,Michael JOHNSON,13/09/1967,USA,Sevilla (La Cartuja),26/08/1999,8
24,43.03,,Wayde VAN NIEKERK,15/07/1992,RSA,Rio de Janeiro (Estádio Olímpico),14/08/2016,2
